M;56;2,1;42,5;39,19
M;56;2,2;43,48;39,82
M;56;2,3;44,48;40,47
M;57;1,5;37,15;35,69
M;57;1,6;38,01;36,27
M;57;1,7;38,89;36,86
M;57;1,8;39,78;37,46
M;57;1,9;40,7;38,07
M;57;2;41,64;38,69
M;57;2,1;42,6;39,32
M;57;2,2;43,58;39,96
M;57;2,3;44,59;40,61
M;58;1,5;37,24;35,81
M;58;1,6;38,1;36,39
M;58;1,7;38,98;36,98
M;58;1,8;39,88;37,58
M;58;1,9;40,8;38,19
M;58;2;41,74;38,82
M;58;2,1;42,7;39,45
M;58;2,2;43,68;40,09
M;58;2,3;44,69;40,74
M;59;1,5;37,33;35,92
M;59;1,6;38,19;36,51
M;59;1,7;39,07;37,1
M;59;1,8;39,97;37,7
M;59;1,9;40,89;38,32
M;59;2;41,83;38,94
M;59;2,1;42,8;39,57
M;59;2,2;43,79;40,22
M;59;2,3;44,8;40,87
M;60;1,5;37,41;36,04
M;60;1,6;38,28;36,62
M;60;1,7;39,16;37,22
M;60;1,8;40,06;37,82
M;60;1,9;40,99;38,44
M;60;2;41,93;39,06
M;60;2,1;42,9;39,7
M;60;2,2;43,89;40,34
M;60;2,3;44,9;41
M;61;1,5;37,5;36,15
M;61;1,6;38,36;36,74
M;61;1,7;39,25;37,34
M;61;1,8;40,15;37,94
M;61;1,9;41,08;38,56
M;61;2;42,03;39,18
M;61;2,1;42,99;39,82
M;61;2,2;43,99;40,47
M;61;2,3;45;41,13
M;62;1,5;37,58;36,26
M;62;1,6;38,45;36,85
M;62;1,7;39,33;37,45
M;62;1,8;40,24;38,06
M;62;1,9;41,17;38,68
M;62;2;42,12;39,3
M;62;2,1;43,09;39,94
M;62;2,2;44,08;40,59
M;62;2,3;45,1;41,25
M;63;1,5;37,66;36,37
M;63;1,6;38,53;36,96
M;63;1,7;39,42;37,56
M;63;1,8;40,33;38,17
M;63;1,9;41,26;38,79
M;63;2;42,21;39,42
M;63;2,1;43,18;40,06
M;63;2,2;44,18;40,71
M;63;2,3;45,2;41,38
M;64;1,5;37,74;36,48
M;64;1,6;38,61;37,07
M;64;1,7;39,5;37,67
M;64;1,8;40,42;38,29
M;64;1,9;41,35;38,91
M;64;2;42,3;39,54
M;64;2,1;43,28;40,18
M;64;2,2;44,27;40,84
M;64;2,3;45,29;41,5
M;65;1,5;37,82;36,59
M;65;1,6;38,7;37,18
M;65;1,7;39,59;37,78
M;65;1,8;40,5;38,4
M;65;1,9;41,43;39,02
M;65;2;42,39;39,66
M;65;2,1;43,37;40,3
M;65;2,2;44,37;40,95
M;65;2,3;45,39;41,62
M;66;1,5;37,9;36,69
M;66;1,6;38,78;37,29
M;66;1,7;39,67;37,89
